machine_speed_rpm,humidity_percent,production_count,defect_count,maintenance_required
1926,59,80,11,1
1660,64,198,11,1
2094,50,87,6,1
1930,66,108,5,0
1895,34,175,7,0
1844,48,181,6,0
921,43,84,4,0
1266,55,190,5,0
2038,33,165,5,0
1130,54,126,6,1
887,74,113,9,1
2196,71,144,5,0
1923,54,134,4,0
1671,47,198,7,0
930,69,169,3,0
2132,37,122,10,1
1569,68,153,7,0
1143,69,109,4,0
1605,43,193,6,0
1185,61,161,4,0
2015,67,96,9,0
1755,62,105,10,1
1076,52,87,5,0
1984,44,126,3,0
1259,62,183,6,0
2137,54,192,10,0
821,46,155,5,1
1052,62,170,4,0
1547,31,151,2,0
1656,43,168,3,0
1274,69,125,6,0
1882,69,147,7,0
1310,68,112,4,0
1499,35,80,6,0
1775,35,98,11,1
989,32,110,3,0
1757,36,159,9,1
1486,37,93,6,0
1757,71,132,8,1
1362,44,127,7,1
2067,58,148,3,0
1631,62,184,8,1
1954,59,169,8,0
1446,68,141,9,1
820,56,171,4,0
1640,65,145,6,0
966,58,193,6,0
2097,67,143,14,1
1187,62,149,4,0
1400,66,142,3,0
1115,56,152,8,1
813,62,112,7,1
1041,33,120,3,0
1576,51,168,8,0
2169,31,127,4,0
1364,39,92,3,0
1697,34,152,7,0
2163,39,196,12,1
891,62,156,3,0
2190,67,110,5,0
1755,42,184,7,0
1308,60,154,6,0
1575,65,147,5,0
834,74,177,4,0
1005,53,181,4,0
1904,44,189,6,1
1825,58,83,4,0
1821,37,181,6,1
1365,34,98,9,1
1929,58,149,7,0
1502,33,177,7,1
1201,41,161,2,0
1529,74,92,7,0
961,31,184,8,1
1001,56,102,3,0
1795,60,162,4,0
1069,65,188,8,1
1615,65,154,6,0
2094,55,80,5,0
1255,72,167,6,1
2075,56,133,7,0
1816,34,150,7,0
1095,49,168,3,0
1519,40,164,6,0
1137,39,94,4,0
1678,69,144,10,1
1876,67,155,3,0
1591,35,150,6,0
1016,37,94,6,1
1563,52,100,7,1
987,55,98,4,0
1179,72,139,2,0
1292,41,172,4,0
1864,55,168,6,0
1980,42,112,2,0
814,69,128,5,0
864,47,175,6,1
1320,54,192,6,1
2167,62,114,8,0
1952,69,123,5,0
1447,72,181,3,0
1886,41,169,4,0
1962,73,90,7,0
1392,65,178,8,1
1191,33,151,3,0
1218,34,189,3,0
1088,66,157,7,1
1178,37,153,2,0
1030,71,145,2,0
1817,57,125,8,0
840,60,88,3,0
1851,38,82,7,1
934,58,164,4,0
1000,43,105,4,0
1579,69,151,6,0
1729,70,127,8,1
1856,51,145,9,0
1871,40,149,3,0
1302,52,107,2,0
1206,30,196,3,0
1604,66,172,6,0
898,50,105,4,0
1483,55,104,8,0
1525,65,91,4,0
1760,52,84,7,1
1412,30,177,3,0
1442,69,127,8,0
1828,44,116,6,0
2041,50,158,9,1
1302,38,123,5,0
1566,38,179,5,1
1197,39,94,6,1
1670,55,122,5,0
1594,70,127,8,1
1192,64,166,5,0
1006,54,149,4,0
1838,55,125,12,1
1691,40,193,8,1
1663,67,187,6,0
1542,31,122,5,0
2064,36,188,6,0
1363,47,100,6,1
1820,56,102,5,0
895,63,186,4,0
1284,56,198,2,0
1030,46,159,4,0
1548,72,126,9,1
1994,73,196,4,0
1340,53,94,8,1
1859,54,104,8,0
1324,36,115,7,1
1983,35,154,8,0
2066,53,130,7,0
1909,62,94,8,0
1377,58,147,5,0
1481,72,100,7,0
1356,51,92,9,1
1812,55,165,5,0
1445,57,98,7,0
1595,50,113,4,0
1851,36,157,4,0
2163,46,147,7,0
2154,49,191,8,1
2171,70,196,7,1
2054,49,131,4,0
989,51,189,1,0
2048,57,106,9,0
2106,69,108,7,0
1432,36,190,4,0
1427,30,107,2,0
1772,61,114,4,0
2082,42,87,6,0
2182,59,95,8,1
1509,52,185,6,0
1448,48,115,6,0
1117,61,109,4,0
2048,59,97,6,0
2057,58,81,7,1
1483,74,128,8,1
1463,58,156,7,1
2197,59,83,8,0
2056,45,169,8,1
1936,69,168,5,0
1241,48,173,9,1
1363,47,154,3,0
2091,30,86,10,1
1936,43,174,10,1
1751,31,187,5,1
1904,57,153,6,0
1498,59,118,7,0
912,67,92,8,1
801,33,110,2,0
1441,30,150,9,1
1019,37,142,3,0
1654,58,135,4,0
2048,68,192,11,1
1184,32,121,3,0
1953,61,140,7,0
1876,39,121,6,0
1529,39,135,4,0
1046,48,115,6,1
1635,63,163,7,0
1002,62,147,7,1
2007,52,197,9,1
922,57,86,2,0
1200,61,133,8,1
1566,36,80,7,0
1093,58,123,3,0
1079,37,199,7,1
1683,30,124,2,0
997,32,185,3,0
1781,53,126,7,0
1551,52,92,5,0
943,37,198,5,0
1408,66,101,7,1
2024,32,197,8,0
1947,62,100,9,0
986,57,165,5,0
2149,37,171,8,0
1263,63,88,5,0
2172,64,105,5,0
1459,61,88,5,0
1563,53,94,6,0
1754,43,89,7,0
1202,61,167,4,0
2169,72,121,11,1
946,45,151,6,1
1971,33,103,7,0
1663,66,159,11,1
1288,50,128,9,1
1728,43,105,3,0
1350,60,170,5,0
1137,47,116,8,1
1671,36,147,10,1
1440,39,129,4,0
1272,36,103,6,1
950,62,98,4,0
2121,52,179,10,1
1062,50,139,6,1
943,48,118,4,0
1145,48,153,5,1
1423,65,168,7,0
1816,58,97,4,0
1680,47,98,8,1
801,31,115,3,0
1696,30,153,3,0
2127,34,176,9,0
1053,49,134,6,0
1252,40,193,5,0
1860,71,148,10,1
1983,31,126,7,0
1814,32,128,5,0
808,52,178,5,0
2056,41,187,6,1
1922,49,177,10,1
1615,34,112,9,1
1007,66,198,6,1
1954,67,100,13,1
1203,59,160,4,0
951,38,101,3,0
853,63,127,5,0
1943,73,116,7,1
1427,64,94,8,1
1386,51,114,5,0
903,73,171,9,1
1053,53,150,4,0
2050,46,111,4,0
1935,39,90,6,0
1309,59,89,4,0
898,52,152,4,0
952,61,157,4,0
1713,46,156,5,0
1677,46,136,5,0
1137,43,104,9,1
1621,38,81,6,1
1986,69,143,11,1
1756,31,114,6,0
960,74,86,4,0
1600,54,164,11,1
1197,68,97,3,0
2100,38,146,7,0
1615,51,121,4,0
1958,72,197,7,0
2018,33,118,4,0
1200,55,120,2,0
1439,58,192,4,0
1856,74,154,6,0
1487,63,182,5,0
1259,52,103,5,0
1754,66,139,4,0
1269,40,125,6,0
2198,35,98,3,0
1845,47,147,6,0
1549,50,169,6,0
837,71,181,2,0
1029,65,121,5,0
2188,70,111,8,1
1362,67,118,4,0
1237,63,188,2,0
2106,46,189,8,0
826,66,115,5,0
1025,54,183,4,0
2100,67,180,4,0
1597,41,176,7,1
1083,52,115,4,0
1678,71,82,7,0
1759,51,152,2,0
1252,50,87,9,1
1819,56,176,6,0
1615,60,149,5,1
1458,35,120,3,0
1346,56,182,7,1
2015,69,147,9,1
1872,63,92,3,0
816,41,128,5,0
1995,74,139,9,0
2043,36,81,6,0
957,39,139,5,1
1276,74,84,6,0
1869,46,123,8,0
2196,55,106,9,0
1317,50,111,8,1
898,57,100,4,0
1860,31,87,6,0
1079,72,181,5,0
2172,30,151,7,1
1296,65,129,4,0
1101,55,146,3,0
980,58,197,5,0
1406,50,123,7,0
1922,40,137,4,0
1499,69,82,7,1
1792,40,165,6,1
1939,65,149,8,0
990,68,81,8,1
1052,69,166,6,0
1780,64,123,10,1
1727,63,81,7,1
1984,53,181,5,0
2079,51,160,12,1
2146,34,114,8,0
927,62,177,5,0
817,65,166,5,0
1365,49,109,5,0
1369,48,195,9,1
2146,64,87,10,1
1485,72,101,4,0
1425,46,123,9,1
2111,74,137,13,1
1653,72,115,7,0
1761,63,148,7,0
954,38,156,2,0
1289,55,172,4,0
1584,31,110,9,1
1927,38,126,4,0
1045,38,134,8,1
1999,69,159,8,0
1862,46,185,2,0
1558,30,141,3,0
1337,54,109,7,0
1720,72,134,6,0
1207,69,95,6,0
1324,71,91,6,0
1627,54,96,6,0
1702,68,95,2,0
835,64,91,6,1
1484,32,87,5,0
819,66,163,3,0
1120,73,82,7,0
1311,73,95,5,0
1199,59,109,6,1
1453,67,188,5,0
1771,63,102,5,0
1270,41,171,8,1
1966,48,194,6,0
1915,66,183,7,0
2177,73,197,10,0
1633,46,84,8,0
1526,39,163,6,0
1653,41,183,7,0
850,45,199,6,1
1374,53,187,6,1
2013,48,144,8,0
1948,37,109,4,0
949,60,100,7,1
1113,50,163,4,0
1369,46,149,5,1
2165,52,101,13,1
1104,66,161,6,1
1481,45,151,6,0
1637,35,182,4,0
1877,37,111,2,0
1802,54,112,8,1
1243,47,196,6,0
1412,54,95,11,1
1792,41,155,4,0
1063,44,117,3,0
1876,55,195,5,0
1803,70,177,6,0
804,74,93,3,0
1926,55,115,5,0
2019,61,176,6,1
1573,39,102,5,0
1676,45,193,6,0
1791,36,188,7,0
1683,46,145,6,1
2173,52,184,10,1
846,55,164,4,0
1666,50,81,7,1
1622,51,170,11,1
1735,36,152,5,0
1455,43,144,4,0
1068,44,154,4,0
1169,36,146,6,0
1435,38,131,6,1
1929,37,141,6,0
1456,52,102,8,1
919,58,105,4,0
1630,47,147,6,0
1881,60,161,6,0
2169,59,134,5,0
1540,68,85,8,1
916,64,114,6,1
1590,47,101,5,0
1950,71,122,7,0
1812,68,94,5,0
1881,46,165,6,0
1433,43,139,2,0
1312,60,180,4,0
1601,53,195,5,0
1919,64,185,6,1
1941,73,91,7,0
1359,74,190,2,0
1287,63,128,7,0
2060,32,121,6,0
1696,66,117,9,0
2095,72,161,12,1
2012,69,124,12,1
1503,55,114,2,0
1380,52,109,3,0
1589,73,167,5,0
1660,68,185,11,1
1046,44,109,4,0
1899,33,157,7,0
953,58,85,5,0
1796,51,146,5,0
1909,54,159,9,0
1496,42,86,8,1
2108,47,131,3,0
2043,62,93,7,0
1892,45,152,5,0
1870,74,94,10,1
1808,71,100,10,1
893,73,114,4,0
1757,31,145,8,1
1811,64,170,7,0
1252,71,81,5,0
2027,63,114,9,0
1711,59,161,6,0
1017,42,157,5,0
1273,42,99,5,0
1231,47,161,3,0
1140,61,89,5,1
1350,61,104,3,0
2112,64,145,3,0
2077,68,104,4,0
1156,58,133,10,1
822,58,112,3,0
1321,73,115,8,0
1923,45,174,6,1
1601,73,93,6,0
2003,39,144,3,0
2046,59,189,11,1
1561,54,159,6,0
1241,68,133,6,0
1568,49,189,4,0
1815,34,131,4,0
2148,30,82,5,0
1315,59,178,6,0
1839,32,120,4,0
1591,74,85,5,0
1135,43,104,5,1
1057,59,92,5,0
1296,33,196,4,0
1695,47,177,7,1
959,66,87,4,0
1651,54,100,7,0
1489,30,177,7,1
1179,44,147,5,0
1756,38,104,5,0
1490,44,158,6,1
2091,53,147,8,0
1991,33,124,6,0
1866,41,139,7,0
1084,66,91,4,0
1196,66,111,7,0
811,72,175,6,1
2125,35,171,9,0
2076,68,92,9,1
1298,53,110,5,0
1553,40,157,7,1
834,42,99,4,1
1526,63,97,5,0
1648,54,172,5,0
889,36,139,4,0
1575,33,142,3,0
1404,37,85,9,1
1769,49,111,6,1
1821,58,172,5,0
1217,74,122,5,0
914,39,81,4,0
1416,72,139,5,0
2019,63,102,4,0
1625,55,162,9,1
1898,70,110,8,1
1212,32,194,2,0
2199,35,84,4,0
1528,34,162,6,0
2100,34,113,5,0
1820,52,89,6,0
1560,38,168,3,0
1475,64,81,11,1
1256,49,90,3,0
1719,71,129,7,0
991,64,110,6,1
1538,47,135,7,1
1922,46,158,7,0
1777,53,152,9,0
1808,32,166,6,0
895,61,162,5,1
1462,64,88,8,1
2013,67,178,5,0
836,42,100,4,0
2192,54,152,12,1
1078,38,107,4,0
1016,33,141,5,0
1666,43,189,5,0
1672,66,194,6,0
2096,63,86,5,0
861,40,159,6,1
1395,70,95,6,1
1528,32,176,5,0
2165,57,83,4,0
1196,58,83,6,0
1498,38,182,3,0
1842,32,119,5,0
976,54,96,7,1
1195,63,180,5,0
1244,41,182,4,0
2056,71,131,4,0
875,38,172,6,1
1064,44,131,6,1
1254,69,115,6,1
1517,54,117,6,1
1534,34,182,5,0
1650,40,129,7,0
2190,63,142,5,0
943,53,180,4,0
1684,44,195,4,0
1892,67,142,6,0
1922,37,141,5,0
1195,34,178,4,0
1848,55,86,6,0
1747,47,106,7,1
1690,35,171,3,0
1974,66,165,6,0
1967,42,93,5,0
1368,57,150,4,0
1862,34,180,3,0
908,42,165,3,0
1865,46,84,7,0
2009,69,134,3,0
1734,74,81,3,0
1197,61,141,2,0
2046,58,170,6,0
1433,32,100,4,0
1956,69,197,8,0
1986,63,181,5,0
2038,69,158,9,0
1532,56,100,5,0
1034,42,89,4,0
1457,74,166,6,0
1550,62,137,6,1
1387,35,199,5,1
1832,53,118,8,1
1897,48,84,5,0
1753,45,144,7,0
1291,69,92,7,0
1712,57,164,5,0
2076,62,169,9,0
2053,70,193,5,0
1997,42,188,11,1
1991,72,164,8,0
969,74,132,6,1
1745,54,161,9,0
1594,71,180,5,0
1433,65,124,2,0
2017,56,111,3,0
828,67,115,9,1
1988,36,160,6,0
1138,34,178,3,0
2188,72,192,8,1
2165,74,139,5,0
1299,60,90,9,1
1310,52,142,2,0
2150,71,100,8,0
1016,39,131,5,0
2124,61,134,8,0
1955,72,196,6,0
1893,59,105,3,0
2075,68,147,6,1
1244,60,113,9,1
1675,47,131,5,0
2005,65,191,8,0
966,31,161,4,0
890,43,183,3,0
1513,42,178,4,0
838,58,184,4,0
1949,41,172,6,0
972,68,131,4,0
1452,31,108,6,1
1553,61,117,7,0
2043,42,121,9,0
1881,56,100,5,0
1275,70,121,5,0
1255,46,92,5,0
1628,69,192,5,0
1694,60,184,7,1
2184,63,143,7,0
1824,53,96,4,0
1186,74,199,8,1
1147,64,88,7,1
989,35,120,1,0
1304,48,80,4,0
2014,59,81,4,0
2192,36,139,6,0
1623,39,127,4,0
1728,70,108,7,0
1733,61,176,7,0
1940,63,89,7,0
933,57,193,2,0
857,44,137,2,0
1484,59,139,7,0
1471,66,183,6,0
972,58,100,4,0
1614,51,107,6,0
1972,33,154,4,0
879,49,198,2,0
1685,61,113,6,0
2036,65,87,5,0
1002,33,138,6,1
1563,56,165,7,1
2052,46,151,6,0
2050,41,128,4,0
846,51,158,3,0
2056,46,96,5,0
2128,39,139,6,0
1966,30,166,8,1
2196,51,167,10,0
2082,55,124,6,0
1455,47,162,5,1
1270,43,148,5,1
1770,58,111,11,1
1835,41,123,7,0
2153,65,144,5,0
1535,64,166,4,0
1583,41,180,4,0
1767,36,87,8,0
1157,58,156,3,0
1771,40,151,8,1
1467,62,166,2,0
1172,35,122,5,0
1831,44,80,5,0
1945,61,188,6,0
2171,40,130,10,0
1475,52,103,3,0
889,55,178,3,0
1497,63,103,8,1
2139,63,96,10,0
2001,58,84,9,1
1339,33,99,4,0
1531,46,100,4,0
1668,64,183,8,0
840,42,137,4,0
1539,70,110,6,0
1301,68,189,4,0
1758,44,179,7,1
1968,58,90,8,1
2024,58,131,5,0
1728,40,94,10,1
1260,61,162,6,0
1531,31,86,9,1
1551,43,194,6,0
1724,49,107,7,0
1708,51,130,7,1
2076,40,186,7,0
1189,56,137,5,1
1682,32,84,7,0
1055,46,84,5,0
1508,73,173,6,0
1249,57,197,5,0
809,58,175,5,0
1623,50,87,8,1
1597,45,143,6,0
2065,66,89,10,1
2074,49,117,7,1
1676,35,190,5,0
1828,48,175,5,1
1942,34,191,7,1
1815,32,171,10,1
1173,30,160,8,1
1888,67,174,7,1
945,44,87,4,0
1023,63,183,5,0
2062,64,104,8,1
976,54,152,4,0
1652,53,145,7,0
2105,41,158,7,0
862,47,129,7,1
2040,44,146,7,0
1626,73,128,7,1
1594,45,115,3,0
1488,56,147,7,0
904,37,157,2,0
1922,54,184,8,0
1310,46,120,6,0
1184,58,168,9,1
1204,37,198,7,1
1622,44,141,4,0
1317,56,193,3,0
1275,36,89,7,1
1508,32,100,7,1
1570,58,115,6,0
1846,73,91,7,0
1796,53,170,3,0
1476,32,183,6,1
1513,49,81,7,0
882,44,197,5,0
1968,54,92,6,0
1908,59,132,9,1
1901,43,111,6,0
1256,36,174,3,0
800,46,95,2,0
850,73,111,2,0
1484,49,111,4,0
1516,65,177,10,1
1248,38,90,7,1
1680,67,89,8,1
1287,51,94,9,1
833,31,96,2,0
2171,53,119,8,1
894,37,97,4,0
1895,40,134,5,0
953,42,152,6,1
1049,46,104,3,0
1473,37,183,4,0
1237,50,138,4,0
917,47,157,2,0
1570,59,168,8,0
2129,47,193,7,1
1067,60,101,8,1
1877,67,195,6,0
1035,61,109,6,0
1188,40,163,4,0
1789,74,164,11,1
1562,54,123,6,0
1200,62,111,4,0
1423,67,130,7,0
1566,70,125,5,0
2126,37,192,8,0
1718,40,199,7,1
2030,51,100,6,0
2052,53,178,7,0
1652,70,111,5,0
1377,46,173,7,1
874,41,198,4,0
1234,61,118,6,0
902,44,192,4,0
1563,45,91,7,0
1537,51,184,9,1
1605,57,126,6,0
2129,49,97,8,1
897,62,100,5,0
1597,39,92,9,1
2158,69,100,4,0
1658,61,87,10,1
1234,62,125,3,0
1246,31,183,6,0
2131,62,189,7,1
1048,62,86,3,0
965,70,102,4,0
1783,42,187,3,0
2158,59,175,6,0
1819,62,154,5,0
1341,42,165,3,0
1558,55,101,4,0
1929,51,186,10,1
880,68,168,4,0
932,31,101,7,1
1596,67,171,7,1
1699,68,108,8,0
937,55,92,4,0
983,44,161,3,0
2153,63,81,5,0
1584,71,108,12,1
1783,73,164,4,0
868,69,158,5,0
1345,40,131,3,0
852,32,106,3,0
1004,35,129,2,0
925,38,174,1,0
842,35,158,6,1
910,38,194,5,0
1560,68,102,7,0
2006,60,167,8,1
1647,61,123,4,0
894,70,156,7,1
2197,41,101,8,1
1699,37,122,9,1
1159,37,116,7,1
1699,57,140,4,0
1080,49,176,5,1
2018,36,135,6,0
2018,40,82,9,1
1466,49,142,6,1
892,45,197,6,1
1471,33,98,5,1
860,35,102,3,0
1433,51,108,8,1
1874,55,109,8,0
1828,32,118,7,1
1403,70,187,6,0
1481,71,190,5,0
1333,43,104,6,0
1637,40,180,6,0
1444,47,190,8,1
1032,41,87,4,0
1323,52,185,5,0
1145,41,137,4,0
1869,42,95,11,1
1345,54,151,5,0
1901,74,80,6,0
1896,48,187,7,0
1593,65,84,6,0
1048,74,82,4,0
846,37,144,4,0
1944,58,83,7,0
1013,61,183,6,1
1038,73,178,8,1
1879,47,175,3,0
1149,35,143,6,1
906,47,185,6,0
1630,48,177,2,0
847,51,186,4,0
1136,66,168,4,0
1849,61,89,5,0
1603,70,100,5,0
2080,32,125,3,0
807,57,182,6,1
1424,39,170,7,0
2076,64,106,7,0
1518,58,145,2,0
1102,44,120,3,0
1438,62,191,5,0
855,36,92,3,0
1525,41,88,5,1
1325,59,195,7,0
1273,50,115,6,0
827,60,165,5,0
877,53,185,5,0
2039,49,169,4,0
1164,66,137,2,0
1465,33,133,5,0
1325,57,91,4,0
1498,73,160,4,0
2135,49,157,4,0
1682,53,93,4,0
1830,61,113,9,0
1826,70,132,8,0
1718,65,99,7,0
1549,63,154,8,0
1162,65,95,6,0
2097,31,194,5,0
1605,44,174,5,0
1538,63,198,8,1
1838,65,149,8,0
2015,35,135,9,1
1284,68,162,5,0
827,71,180,3,0
1513,41,137,4,0
1862,32,83,7,0
2096,74,190,8,0
2054,47,83,6,0
885,69,99,2,0
925,50,89,5,0
1611,44,103,6,1
1336,62,197,6,1
944,64,178,3,0
2035,55,105,6,0
824,37,116,4,0
866,65,181,4,0
1032,59,164,5,0
908,52,133,5,1
1969,71,183,5,0
910,73,182,5,0
1027,43,100,4,0
910,43,153,7,1
833,31,117,3,0
1422,66,125,5,0
2192,34,83,12,1
1547,67,139,6,0
1394,74,136,9,1
1224,70,124,8,0
1412,43,99,8,1
1491,68,96,5,0
2105,54,198,4,0
2143,49,150,8,1
1114,31,83,2,0
1676,68,172,9,0
2112,35,93,7,0
1461,46,82,7,0
1076,54,167,6,0
1423,57,180,4,0
1315,31,159,5,0
2173,64,137,6,0
1642,66,134,5,0
1149,34,195,3,0
1622,30,83,10,1
1960,69,199,7,1
1558,41,103,9,1
1698,65,113,6,0
1042,74,109,4,0
1342,52,161,4,0
1863,60,98,9,0
1028,40,110,3,0
1347,39,139,5,0
1719,32,139,4,0
2046,43,98,11,1
805,45,128,2,0
2145,39,142,6,0
1267,58,189,6,0
874,39,162,4,0
803,41,101,7,1
1445,59,103,6,0
917,70,188,5,0
1680,30,155,4,0
1303,34,109,4,0
1746,49,137,5,0
1373,37,181,6,1
993,72,196,9,1
1646,41,110,9,1
1514,30,179,4,0
1849,49,143,8,1
972,57,98,4,0
2123,72,127,6,0
1125,66,124,4,0
1941,66,179,7,0
1635,41,173,3,0
1523,66,134,6,1
1024,73,192,5,0
1331,57,134,4,0
912,44,176,4,0
939,35,97,5,1
1358,73,142,9,1
800,49,195,8,1
889,43,192,5,0
1453,31,171,2,0
1119,38,126,3,0
938,66,154,2,0
1644,49,136,8,0
1058,55,197,6,0
1701,58,124,7,0
1489,30,112,5,1
809,64,96,6,0
1060,35,149,4,0
971,66,83,3,0
1697,34,99,5,1
812,62,191,6,1
1991,43,126,9,1
1120,41,170,7,1
2142,71,94,4,0
1128,49,149,3,0
1584,53,126,4,0
1576,72,157,5,0
1710,63,154,7,0
1918,54,182,6,0
1117,58,88,7,1
1035,68,169,8,1
1133,60,95,8,1
1175,72,148,9,1
1960,52,195,4,0
1387,73,140,9,0
1312,67,89,5,0
2119,49,129,6,0
2143,52,82,12,1
1717,74,156,4,0
2172,45,186,8,1
1672,71,192,6,0
2052,37,173,8,0
1069,50,197,2,0
