machine_speed_rpm,temperature_c,humidity_percent,vibration_level,energy_usage_kwh,production_count,defect_count,hours_since_last_maintenance,maintenance_required,alert_triggered,defective_product
1549.6714153011233,81.99677718293,46.28425956502511,0.55731278132412,116.71329588229217,176,5,90,0,0,0
1486.1735698828816,79.62316841456385,32.640393765609666,0.32141335080658884,124.2418670614835,162,6,80,0,0,1
1564.7688538100692,75.29815184960087,43.952821358779175,0.4640370327547538,100.13282600836098,129,3,145,0,0,0
1652.3029856408025,71.76531611147213,34.439923951652595,0.5301107339191742,99.68242346020043,56,5,149,1,0,1
1476.5846625276663,78.49111656806795,62.329408400368884,0.5183834516322504,92.22914892337577,65,5,60,0,0,0
1476.586304305082,76.96742692710875,67.90752103857884,0.7693033663980497,87.9945779099258,65,5,119,0,0,0
1657.9212815507392,79.47596610013866,32.892659010317544,0.5349800024567908,95.65434615559042,61,5,60,0,0,0
1576.7434729152908,78.17585900840984,68.20460829166805,0.399594540315799,123.18925013608258,84,3,52,0,0,0
1453.0525614065048,80.24776357659667,50.903063973469806,0.4904535752910927,102.14424969016233,70,10,25,0,1,1
1554.2560043585966,72.32382394219717,41.98262711815495,0.3223753666533548,130.27228928462193,66,5,114,0,0,0
1453.6582307187537,81.58697032817163,33.07448301104654,0.4919400250703239,120.69427497505124,81,4,39,0,0,0
1453.4270246429744,75.987998023462,50.02497072281671,0.4166943942999241,80.62991573123892,90,4,87,0,0,0
1524.1962271566035,85.37630436312632,61.780621779629946,0.5915390275560162,133.0995116844338,183,7,115,1,0,1
1308.67197553422,71.55406090955216,58.283459090667925,0.44504597254044653,136.2159729118342,76,3,135,0,0,0
1327.5082167486967,83.67981901582624,32.00904045855895,0.48832340842047534,100.12274650330293,197,6,20,0,0,1
1443.7712470759027,75.98955391731324,32.91607341471614,0.43644421585955967,128.40383085789983,115,2,42,0,1,0
1398.7168879665576,71.74290998192775,46.11493130530548,0.6738851351853331,102.87003525181602,186,4,20,0,0,0
1531.4247332595273,72.58057082972839,41.81161976191773,0.4678757233882088,121.95340753496671,141,4,130,0,1,0
1409.1975924478788,73.3982634590284,39.29537292224191,0.6832557043479202,94.71003186090068,110,4,30,1,0,1
1358.769629866471,77.12082973200958,41.24017995634854,0.5814151762118267,84.13787094930846,52,8,154,0,0,1
1646.5648768921553,77.6141774401775,62.139309731875386,0.5482066727335386,112.34365620774062,152,5,26,0,0,0
1477.4223699513464,72.13149998030711,67.16912214527416,0.5368733147317519,117.52542107450327,104,8,72,0,0,1
1506.7528204687924,74.87822703869509,46.20410778110266,0.5393797298216252,112.04640612770793,50,5,184,0,0,0
1357.5251813786542,85.71135179305932,66.24444008529989,0.307232742065439,96.3193888355488,150,7,96,0,0,1
1445.5617275474817,83.63771585050355,42.85982804991528,0.4721116605849244,112.00201875737726,94,8,160,1,0,1
1511.0922589709867,77.18161834837016,49.05747945375167,0.5845157971184322,125.38589505161468,75,3,89,0,1,0
1384.9006422577697,75.190017390841,39.04115991263999,0.49511028165258947,119.10213939754927,170,4,43,0,0,0
1537.5698018345672,75.60015663359131,55.61904168703376,0.3594810153196425,123.65002061198427,191,6,42,0,0,1
1439.9361310081194,78.06758986365209,69.15924460699236,0.49475955494225304,106.59769599091534,95,4,30,0,1,0
1470.8306250206724,69.88603717400797,54.13972384173515,0.6704105516255492,143.4343582943232,171,4,116,0,0,0
1439.8293387770602,73.71311731288327,44.31256336454196,0.6246891715534719,96.47653326890439,80,6,192,1,0,1
1685.2278184508937,66.65707963061206,55.91269783962113,0.4937995990633968,129.75120594173438,108,2,75,0,0,0
1498.6502775262065,76.99611561302639,34.9168271386155,0.5951449277058086,143.63782185919922,78,4,144,1,0,1
1394.22890710441,78.2359796985137,65.54636321061594,0.4633492979631948,129.6181618549779,155,2,142,0,0,0
1582.254491210319,72.58406768850313,50.123358031193455,0.3296128413173281,115.9495154587034,66,8,33,0,0,1
1377.9156350028977,82.86993381645016,47.97398968158568,0.40755340118704453,109.43405906674042,191,7,79,0,0,1
1520.8863595004755,68.8711716849883,53.434591538140765,0.6562888768508198,140.72175302092512,73,2,3,0,0,0
1304.0329876120225,67.6781255989509,54.9913545115761,0.4726006918170696,91.54050149476654,158,5,71,1,0,1
1367.181395110157,76.12225909279987,32.87103224906052,0.4756616020624982,100.59751479240713,140,6,97,0,1,1
1519.6861235869123,80.23549151306077,57.304688848936095,0.4700161803725119,112.04884469016557,74,7,109,0,0,1
1573.846657999541,83.41963845728934,39.67726721262118,0.6904136589573007,144.75307515023997,81,7,27,0,0,1
1517.136828118997,72.7055786856553,58.55810530026359,0.6625958915362063,127.59535272081791,165,7,129,0,0,1
1488.435171761176,80.39340416715648,62.90139177536787,0.7218780233448134,100.6390848297951,131,6,16,0,0,1
1469.8896304410712,74.80745765249647,62.15834030210081,0.4840954789599949,113.79384589230193,159,5,57,0,0,0
1352.1478009632572,74.1368635002959,52.100038696315565,0.5295624488747095,107.71353711807411,195,5,126,0,0,0
1428.0155791605291,79.41829968743336,50.80679569243004,0.34833574505792086,105.8042201553293,86,8,8,0,0,1
1453.9361229040212,78.2616143920671,35.71503845357647,0.6476934426118275,139.57779117113557,75,7,30,0,0,1
